epoch,train_loss,val_loss,val_mse
1,2.817877588585161,1.2990534781363972,6.178044
2,2.610045889344805,1.2032638577341337,5.7547264
3,2.5957965981201614,1.2445457236111512,5.899499
4,2.58769172525964,1.2374282385173596,5.864884
5,2.5739244702704736,1.3082032214131272,6.2650375
6,2.552742615701861,1.2968908421128813,6.1654906
7,2.5597039888004534,1.2686757515048424,6.0957494
8,2.5352571122648078,1.4453771062064589,7.0268
9,2.5137491677918398,1.2459777905578502,5.9528217
10,2.5315705778917956,1.3158367903609025,6.3534045
